GEO.id,GEO.id2,GEO.display-label,total,poverty,per_poverty
1400000US17001000100,17001000100,"Census Tract 1, Adams County, Illinois",4569,177,3.9
1400000US17001000201,17001000201,"Census Tract 2.01, Adams County, Illinois",1935,323,16.7
1400000US17001000202,17001000202,"Census Tract 2.02, Adams County, Illinois",2548,435,17.1
1400000US17001000400,17001000400,"Census Tract 4, Adams County, Illinois",3185,1008,31.6
1400000US17001000500,17001000500,"Census Tract 5, Adams County, Illinois",1988,500,25.2
1400000US17001000600,17001000600,"Census Tract 6, Adams County, Illinois",3633,546,15
1400000US17001000700,17001000700,"Census Tract 7, Adams County, Illinois",1126,415,36.9
1400000US17001000800,17001000800,"Census Tract 8, Adams County, Illinois",2547,877,34.4
1400000US17001000900,17001000900,"Census Tract 9, Adams County, Illinois",2671,754,28.2
1400000US17001001001,17001001001,"Census Tract 10.01, Adams County, Illinois",3558,214,6
1400000US17001001002,17001001002,"Census Tract 10.02, Adams County, Illinois",3438,304,8.8
1400000US17001001100,17001001100,"Census Tract 11, Adams County, Illinois",8098,797,9.8
1400000US17001010100,17001010100,"Census Tract 101, Adams County, Illinois",4238,339,8
1400000US17001010200,17001010200,"Census Tract 102, Adams County, Illinois",3292,353,10.7
1400000US17001010300,17001010300,"Census Tract 103, Adams County, Illinois",5983,369,6.2
1400000US17001010400,17001010400,"Census Tract 104, Adams County, Illinois",3479,248,7.1
1400000US17001010500,17001010500,"Census Tract 105, Adams County, Illinois",3120,85,2.7
1400000US17001010600,17001010600,"Census Tract 106, Adams County, Illinois",5907,713,12.1
1400000US17003957600,17003957600,"Census Tract 9576, Alexander County, Illinois",2209,676,30.6
1400000US17003957700,17003957700,"Census Tract 9577, Alexander County, Illinois",1769,354,20
1400000US17003957800,17003957800,"Census Tract 9578, Alexander County, Illinois",1507,608,40.3
1400000US17003957900,17003957900,"Census Tract 9579, Alexander County, Illinois",1341,646,48.2
1400000US17005951200,17005951200,"Census Tract 9512, Bond County, Illinois",2773,353,12.7
1400000US17005951300,17005951300,"Census Tract 9513, Bond County, Illinois",5059,1181,23.3
1400000US17005951400,17005951400,"Census Tract 9514, Bond County, Illinois",3080,314,10.2
1400000US17005951500,17005951500,"Census Tract 9515, Bond County, Illinois",4519,705,15.6
1400000US17007010100,17007010100,"Census Tract 101, Boone County, Illinois",8056,2133,26.5
1400000US17007010200,17007010200,"Census Tract 102, Boone County, Illinois",5497,768,14
1400000US17007010300,17007010300,"Census Tract 103, Boone County, Illinois",6494,980,15.1
1400000US17007010400,17007010400,"Census Tract 104, Boone County, Illinois",6857,477,7
1400000US17007010500,17007010500,"Census Tract 105, Boone County, Illinois",10220,248,2.4
1400000US17007010601,17007010601,"Census Tract 106.01, Boone County, Illinois",4085,543,13.3
1400000US17007010602,17007010602,"Census Tract 106.02, Boone County, Illinois",11954,759,6.3
1400000US17009970400,17009970400,"Census Tract 9704, Brown County, Illinois",2749,231,8.4
1400000US17009970500,17009970500,"Census Tract 9705, Brown County, Illinois",2298,360,15.7
1400000US17011964700,17011964700,"Census Tract 9647, Bureau County, Illinois",2955,240,8.1
1400000US17011964800,17011964800,"Census Tract 9648, Bureau County, Illinois",3635,325,8.9
1400000US17011964900,17011964900,"Census Tract 9649, Bureau County, Illinois",2514,237,9.4
1400000US17011965000,17011965000,"Census Tract 9650, Bureau County, Illinois",3631,493,13.6
1400000US17011965100,17011965100,"Census Tract 9651, Bureau County, Illinois",3994,409,10.2
1400000US17011965200,17011965200,"Census Tract 9652, Bureau County, Illinois",3346,501,15
1400000US17011965300,17011965300,"Census Tract 9653, Bureau County, Illinois",3261,796,24.4
1400000US17011965400,17011965400,"Census Tract 9654, Bureau County, Illinois",3474,598,17.2
1400000US17011965500,17011965500,"Census Tract 9655, Bureau County, Illinois",3666,391,10.7
1400000US17011965600,17011965600,"Census Tract 9656, Bureau County, Illinois",2773,350,12.6
1400000US17013951200,17013951200,"Census Tract 9512, Calhoun County, Illinois",2503,426,17
1400000US17013951300,17013951300,"Census Tract 9513, Calhoun County, Illinois",2279,169,7.4
