GEO.id,GEO.id2,GEO.display-label,total,poverty,per_poverty
1400000US22071000100,22071000100,"Census Tract 1, Orleans Parish, Louisiana",3074,557,18.1
1400000US22071000200,22071000200,"Census Tract 2, Orleans Parish, Louisiana",1409,302,21.4
1400000US22071000300,22071000300,"Census Tract 3, Orleans Parish, Louisiana",1285,615,47.9
1400000US22071000400,22071000400,"Census Tract 4, Orleans Parish, Louisiana",2338,814,34.8
1400000US22071000601,22071000601,"Census Tract 6.01, Orleans Parish, Louisiana",988,582,58.9
1400000US22071000602,22071000602,"Census Tract 6.02, Orleans Parish, Louisiana",2828,544,19.2
1400000US22071000603,22071000603,"Census Tract 6.03, Orleans Parish, Louisiana",1271,620,48.8
1400000US22071000604,22071000604,"Census Tract 6.04, Orleans Parish, Louisiana",4360,1425,32.7
1400000US22071000605,22071000605,"Census Tract 6.05, Orleans Parish, Louisiana",2221,667,30
1400000US22071000606,22071000606,"Census Tract 6.06, Orleans Parish, Louisiana",4696,638,13.6
1400000US22071000607,22071000607,"Census Tract 6.07, Orleans Parish, Louisiana",4910,268,5.5
1400000US22071000611,22071000611,"Census Tract 6.11, Orleans Parish, Louisiana",4697,955,20.3
1400000US22071000612,22071000612,"Census Tract 6.12, Orleans Parish, Louisiana",1883,175,9.3
1400000US22071000613,22071000613,"Census Tract 6.13, Orleans Parish, Louisiana",5046,2303,45.6
1400000US22071000615,22071000615,"Census Tract 6.15, Orleans Parish, Louisiana",4635,1035,22.3
1400000US22071000616,22071000616,"Census Tract 6.16, Orleans Parish, Louisiana",4117,642,15.6
1400000US22071000617,22071000617,"Census Tract 6.17, Orleans Parish, Louisiana",4537,1072,23.6
1400000US22071000618,22071000618,"Census Tract 6.18, Orleans Parish, Louisiana",4404,395,9
1400000US22071000701,22071000701,"Census Tract 7.01, Orleans Parish, Louisiana",735,248,33.7
1400000US22071000702,22071000702,"Census Tract 7.02, Orleans Parish, Louisiana",1765,746,42.3
1400000US22071000800,22071000800,"Census Tract 8, Orleans Parish, Louisiana",1554,463,29.8
1400000US22071000901,22071000901,"Census Tract 9.01, Orleans Parish, Louisiana",781,251,32.1
1400000US22071000902,22071000902,"Census Tract 9.02, Orleans Parish, Louisiana",538,56,10.4
1400000US22071000903,22071000903,"Census Tract 9.03, Orleans Parish, Louisiana",603,182,30.2
1400000US22071000904,22071000904,"Census Tract 9.04, Orleans Parish, Louisiana",980,479,48.9
1400000US22071001100,22071001100,"Census Tract 11, Orleans Parish, Louisiana",1819,319,17.5
1400000US22071001200,22071001200,"Census Tract 12, Orleans Parish, Louisiana",1744,240,13.8
1400000US22071001301,22071001301,"Census Tract 13.01, Orleans Parish, Louisiana",1739,507,29.2
1400000US22071001302,22071001302,"Census Tract 13.02, Orleans Parish, Louisiana",1134,604,53.3
1400000US22071001401,22071001401,"Census Tract 14.01, Orleans Parish, Louisiana",1433,629,43.9
1400000US22071001402,22071001402,"Census Tract 14.02, Orleans Parish, Louisiana",1829,537,29.4
1400000US22071001500,22071001500,"Census Tract 15, Orleans Parish, Louisiana",884,285,32.2
1400000US22071001600,22071001600,"Census Tract 16, Orleans Parish, Louisiana",0,0,-
1400000US22071001701,22071001701,"Census Tract 17.01, Orleans Parish, Louisiana",2059,584,28.4
1400000US22071001702,22071001702,"Census Tract 17.02, Orleans Parish, Louisiana",2908,526,18.1
1400000US22071001720,22071001720,"Census Tract 17.20, Orleans Parish, Louisiana",3201,1488,46.5
1400000US22071001722,22071001722,"Census Tract 17.22, Orleans Parish, Louisiana",4140,1597,38.6
1400000US22071001723,22071001723,"Census Tract 17.23, Orleans Parish, Louisiana",4724,1487,31.5
1400000US22071001724,22071001724,"Census Tract 17.24, Orleans Parish, Louisiana",4229,1535,36.3
1400000US22071001725,22071001725,"Census Tract 17.25, Orleans Parish, Louisiana",7381,2425,32.9
1400000US22071001730,22071001730,"Census Tract 17.30, Orleans Parish, Louisiana",951,255,26.8
1400000US22071001734,22071001734,"Census Tract 17.34, Orleans Parish, Louisiana",909,53,5.8
1400000US22071001735,22071001735,"Census Tract 17.35, Orleans Parish, Louisiana",2013,615,30.6
1400000US22071001736,22071001736,"Census Tract 17.36, Orleans Parish, Louisiana",2259,679,30.1
1400000US22071001737,22071001737,"Census Tract 17.37, Orleans Parish, Louisiana",3597,1227,34.1
1400000US22071001739,22071001739,"Census Tract 17.39, Orleans Parish, Louisiana",1862,375,20.1
1400000US22071001740,22071001740,"Census Tract 17.40, Orleans Parish, Louisiana",4889,1144,23.4
1400000US22071001741,22071001741,"Census Tract 17.41, Orleans Parish, Louisiana",1596,497,31.1
1400000US22071001743,22071001743,"Census Tract 17.43, Orleans Parish, Louisiana",2344,839,35.8
1400000US22071001744,22071001744,"Census Tract 17.44, Orleans Parish, Louisiana",5140,2233,43.4
1400000US22071001745,22071001745,"Census Tract 17.45, Orleans Parish, Louisiana",3474,1274,36.7
1400000US22071001746,22071001746,"Census Tract 17.46, Orleans Parish, Louisiana",4093,1563,38.2
1400000US22071001747,22071001747,"Census Tract 17.47, Orleans Parish, Louisiana",4253,152,3.6
1400000US22071001748,22071001748,"Census Tract 17.48, Orleans Parish, Louisiana",4631,1117,24.1
1400000US22071001749,22071001749,"Census Tract 17.49, Orleans Parish, Louisiana",3090,900,29.1
1400000US22071001750,22071001750,"Census Tract 17.50, Orleans Parish, Louisiana",3537,971,27.5
1400000US22071001751,22071001751,"Census Tract 17.51, Orleans Parish, Louisiana",829,626,75.5
1400000US22071001800,22071001800,"Census Tract 18, Orleans Parish, Louisiana",1560,256,16.4
1400000US22071001900,22071001900,"Census Tract 19, Orleans Parish, Louisiana",1238,382,30.9
1400000US22071002000,22071002000,"Census Tract 20, Orleans Parish, Louisiana",1136,428,37.7
1400000US22071002100,22071002100,"Census Tract 21, Orleans Parish, Louisiana",946,373,39.4
1400000US22071002200,22071002200,"Census Tract 22, Orleans Parish, Louisiana",1068,462,43.3
1400000US22071002300,22071002300,"Census Tract 23, Orleans Parish, Louisiana",1948,643,33
1400000US22071002401,22071002401,"Census Tract 24.01, Orleans Parish, Louisiana",2134,475,22.3
1400000US22071002402,22071002402,"Census Tract 24.02, Orleans Parish, Louisiana",3201,830,25.9
1400000US22071002501,22071002501,"Census Tract 25.01, Orleans Parish, Louisiana",2225,484,21.8
1400000US22071002502,22071002502,"Census Tract 25.02, Orleans Parish, Louisiana",2423,527,21.7
