GEOID,NAME,COUNTYFP,closeness,betweenness,density,per_pover2
22071001743,17.43,071,5.721845950264294e-4,705618.7076853235,1.398669336344329e-4,99
22071006900,69,071,8.068656033240518e-4,886269.8822323361,1.1956017390159945e-4,143
22071000615,6.15,071,4.948842646473967e-4,879647.9912588123,1.8738589516251252e-6,50
22071007000,70,071,7.975003701971943e-4,621422.6808911003,3.170520588727302e-5,135
22071001749,17.49,071,3.6894965910071805e-4,121229.52280279818,1.6267473933496e-4,68
22071014500,145,071,6.62242327948808e-4,624421.8935789157,4.837450828743899e-6,1
22071000605,6.05,071,5.47429289639265e-4,390192.23687911156,4.790614997518607e-5,74
22071000606,6.06,071,5.311694558556885e-4,403498.579531042,5.308530003887348e-5,16
22071000607,6.07,071,4.8029356308999544e-4,338068.7853299051,2.114948837672511e-5,128
22071000611,6.11,071,4.2121931334046395e-4,187884.72250103785,4.9981526262844813e-5,43
22071000612,6.12,071,4.355966752794976e-4,399052.085076287,1.2941961370842619e-6,156
22071000613,6.13,071,5.336801662606688e-4,305703.093918023,1.5732928169933027e-5,121
22071007200,72,071,7.705217166510252e-4,517325.66926522466,1.3307628059054684e-5,137
22071007501,75.01,071,6.675698127716921e-4,177813.16050062823,1.8268375038378798e-4,87
22071007502,75.02,071,7.212226534877739e-4,341511.8071978514,2.0445380377202404e-5,118
22071007604,76.04,071,7.028221479912553e-4,571200.8415738507,2.7832232906736212e-5,2
22071007605,76.05,071,6.62242327948808e-4,624421.8935789157,2.0302675580067032e-4,115
22071000702,7.02,071,6.261247614974045e-4,335836.740111913,7.66005937184721e-5,112
22071000901,9.01,071,5.912833620057793e-4,150504.80756391186,5.2775687148731255e-5,83
22071000902,9.02,071,6.62242327948808e-4,624421.8935789157,1.3156308381941963e-4,5
22071000903,9.03,071,6.495846586690238e-4,343674.26990168117,4.269151008545507e-5,76
22071000800,8,071,6.275315095582312e-4,279879.05224256334,1.542407554482019e-4,72
22071003600,36,071,6.62242327948808e-4,624421.8935789157,3.373844320361053e-4,113
22071011400,114,071,6.123086779432982e-4,166996.04280374054,2.3501011409562596e-5,142
22071008600,86,071,6.62242327948808e-4,624421.8935789157,3.130120094528777e-4,140
22071001748,17.48,071,4.3881273840651254e-4,455549.2337528463,2.970192733333971e-6,57
22071001747,17.47,071,4.476653835425257e-4,385576.80587338866,2.662788835216428e-6,73
22071001750,17.50,071,3.8039901746337343e-4,432564.9635467763,9.973283300446e-5,65
22071000904,9.04,071,6.62242327948808e-4,624421.8935789157,1.677317672618003e-4,125
22071001100,11,071,7.062992376668496e-4,498316.93894771696,2.684991232685952e-5,32
22071001302,13.02,071,7.582018206417105e-4,723052.7487358644,4.0106611382338e-4,136
22071001401,14.01,071,7.689204364557536e-4,526360.9668091777,1.5442150378366888e-4,117
22071001402,14.02,071,6.62242327948808e-4,624421.8935789157,1.7090363204314628e-4,71
22071001500,15,071,8.189876110852525e-4,1468211.5468117816,7.124351711156878e-5,84
22071001600,16,071,6.62242327948808e-4,624421.8935789157,6.987227248993912e-6,1
22071001701,17.01,071,6.791690705595725e-4,468606.4443475666,4.4817193474524556e-5,66
22071001702,17.02,071,7.226065886030069e-4,887287.2731158267,5.4801821595856174e-5,34
22071001720,17.20,071,6.356172849713466e-4,891299.9660697209,5.381138944652246e-6,122
22071001723,17.23,071,5.254693030250974e-4,517708.95420002553,8.963881025665844e-6,81
22071001724,17.24,071,6.252617665899571e-4,669908.4481325652,2.9279290998087836e-6,100
22071001725,17.25,071,5.250617613257861e-4,833249.5915619398,1.2510479587518055e-5,86
22071001730,17.30,071,5.215124099717483e-4,548312.1927026218,7.938287473074808e-7,63
22071001734,17.34,071,4.571591384093188e-4,558767.5718322413,5.311709288701347e-7,130
22071007700,77,071,7.630846327769522e-4,1663273.2455232725,2.8440083302115055e-5,6
22071007606,76.06,071,6.445879469103807e-4,261509.15044227088,4.451401268803144e-5,12
22071008200,82,071,6.62242327948808e-4,624421.8935789157,1.310817965697767e-4,19
22071000604,6.04,071,5.483830271760259e-4,512938.9614196877,9.24073505358448e-6,85
22071008500,85,071,7.777306090862654e-4,559553.9588240964,4.590987483770416e-4,133
22071009600,96,071,6.714480949284103e-4,118900.99324445173,1.0738460642147696e-4,20
22071008800,88,071,6.62242327948808e-4,624421.8935789157,1.6515466195330268e-4,17
22071001735,17.35,071,5.350306604162329e-4,1826924.2466939576,8.417309823979925e-5,77
22071004401,44.01,071,8.655588663176648e-4,785337.0237922996,2.6986872930082886e-4,126
22071001745,17.45,071,4.0944105890539014e-4,513590.3489101706,5.59882397063232e-6,101
22071001736,17.36,071,5.030025170820891e-4,398949.61776041903,6.57933234058093e-5,75
22071000200,2,071,6.62242327948808e-4,624421.8935789157,9.970754160094386e-5,45
22071013400,134,071,8.520914786010722e-4,957242.8430550769,4.5215326034327947e-5,64
22071001739,17.39,071,4.7016122535752965e-4,504167.98970218375,7.957433002778298e-5,41
22071000300,3,071,5.828542204143418e-4,774613.6444485675,1.9062762604504416e-4,123
22071013600,136,071,6.62242327948808e-4,624421.8935789157,4.75113713553325e-4,152
22071001740,17.40,071,4.163211045262084e-4,269783.6861266759,2.9121639893226856e-6,55
22071000400,4,071,6.62242327948808e-4,624421.8935789157,8.838242977078093e-5,97
22071013700,137,071,7.33548937652963e-4,695791.6577269662,4.8784409941107445e-6,145
22071001741,17.41,071,4.20343850661035e-4,921286.9880573537,5.6179811238315475e-5,80
22071000601,6.01,071,6.62242327948808e-4,624421.8935789157,2.36890661840401e-4,141
22071013800,138,071,7.896577796911079e-4,566318.5770854945,5.4652250447327136e-6,116
22071002000,20,071,6.62242327948808e-4,624421.8935789157,2.1400296135904063e-4,104
22071000603,6.03,071,5.639087427052624e-4,636068.3470604192,2.1028815712962565e-4,124
22071014100,141,071,6.62242327948808e-4,624421.8935789157,1.6011028164931675e-4,106
22071002200,22,071,6.62242327948808e-4,624421.8935789157,2.609325582046338e-4,114
22071013900,139,071,7.905688840701741e-4,646411.2913027984,1.5879636489579875e-4,49
22071002300,23,071,8.326189368492805e-4,730663.7022485398,7.125161004893434e-5,87
22071014200,142,071,7.099035335683882e-4,419964.2200447777,2.2328747453168783e-5,15
22071002401,24.01,071,8.062111744709941e-4,1051945.7687250671,1.330263497394463e-4,50
22071014400,144,071,6.414179834480006e-4,185461.7933702902,1.7237092457183475e-5,26
22071002402,24.02,071,7.761151969496514e-4,858876.8109548419,1.7890125004835572e-4,62
22071014300,143,071,6.62242327948808e-4,624421.8935789157,2.951841128395614e-5,144
22071002501,25.01,071,7.183512957983093e-4,426331.57916924416,1.0028869928375442e-4,47
22071002502,25.02,071,6.62242327948808e-4,624421.8935789157,1.1177947045316213e-4,46
22071002503,25.03,071,7.653607824965871e-4,585759.6205456455,5.993150984963757e-5,9
22071003303,33.03,071,7.140614487739868e-4,299128.24103855813,1.9434424819343807e-4,96
22071002504,25.04,071,7.433181625191063e-4,380256.2607066226,1.48959001806229e-4,48
22071002600,26,071,6.62242327948808e-4,624421.8935789157,2.3963963608265138e-4,58
22071006000,60,071,8.439834126312523e-4,619740.4382474271,1.219420089488441e-4,94
22071002700,27,071,6.62242327948808e-4,624421.8935789157,4.024603195907614e-4,132
22071006300,63,071,6.62242327948808e-4,624421.8935789157,3.099866720776262e-4,105
22071002800,28,071,8.711423537527697e-4,965092.1786859313,3.0693833662694754e-4,111
22071005602,56.02,071,6.747653942175922e-4,361286.04478956026,2.0075472810045585e-5,142
22071002900,29,071,6.62242327948808e-4,624421.8935789157,1.9815516164117073e-4,88
22071006500,65,071,6.62242327948808e-4,624421.8935789157,1.5285122452409465e-4,51
22071003000,30,071,6.62242327948808e-4,624421.8935789157,2.432482417073521e-4,119
22071005603,56.03,071,6.62242327948808e-4,624421.8935789157,5.359149426433303e-6,148
22071003301,33.01,071,7.089027116000673e-4,409782.83080675156,3.876607741680681e-5,14
22071005604,56.04,071,7.028952744623649e-4,377087.73589636094,1.672741642109217e-4,127
22071003302,33.02,071,7.521866842824413e-4,405455.208350374,5.649716660917411e-5,17
22071013302,133.02,071,6.895173130291358e-4,539989.1959150976,5.576144278283061e-6,157
22071000617,6.17,071,4.277558122580763e-4,173189.30473149303,2.0375671181525736e-6,56
22071009000,90,071,7.274530470716587e-4,567981.530906473,4.9841982483540277e-5,152
22071008400,84,071,6.62242327948808e-4,624421.8935789157,1.5515998494647292e-4,36
22071009100,91,071,6.62242327948808e-4,624421.8935789157,1.8097646128320397e-4,42
22071013000,130,071,6.62242327948808e-4,624421.8935789157,3.0927192300602834e-4,89
22071009200,92,071,6.62242327948808e-4,624421.8935789157,4.4489129313472634e-4,131
22071009400,94,071,7.903249576957256e-4,401269.39175564056,2.8033918231458135e-4,139
22071009700,97,071,6.646798912182919e-4,212679.32498198992,1.4797434491513217e-4,28
22071009900,99,071,6.62242327948808e-4,624421.8935789157,9.402835725599145e-5,19
22071003304,33.04,071,7.590980131299972e-4,578750.6617781133,1.5532284800187388e-4,70
22071003307,33.07,071,6.62242327948808e-4,624421.8935789157,1.0009527346572662e-4,43
22071003308,33.08,071,7.927104690805997e-4,867689.2135161426,8.87925224897793e-5,67
22071003400,34,071,8.728984959418102e-4,1028483.6975026663,2.438723955663089e-4,103
22071010300,103,071,6.62242327948808e-4,624421.8935789157,1.3322139073485096e-5,95
22071010700,107,071,6.62242327948808e-4,624421.8935789157,1.5191098467945446e-4,32
22071010900,109,071,6.812991304095514e-4,344701.95236104436,8.859731322778414e-5,10
22071011100,111,071,7.231236075097207e-4,1808631.5112691517,1.6348095774822245e-4,59
22071011200,112,071,6.62242327948808e-4,624421.8935789157,1.163829195611846e-4,22
22071011500,115,071,6.62242327948808e-4,624421.8935789157,2.977910805539661e-4,129
22071010000,100,071,6.62242327948808e-4,624421.8935789157,2.48449619351069e-4,90
22071010100,101,071,7.09291179233066e-4,350847.3170605238,1.1579842856600368e-4,23
22071980000,9800,071,7.377997561131454e-4,630647.4316509382,6.118059824348108e-6,40
22071010200,102,071,7.605348399945516e-4,738112.741261672,2.3721966491198248e-4,64
22071011600,116,071,6.62242327948808e-4,624421.8935789157,4.2719212546633975e-4,130
22071001200,12,071,7.14832300219863e-4,930607.1418022022,4.0919136410835595e-5,18
22071011700,117,071,6.428325306976648e-4,351918.19354026596,4.767847049220696e-5,153
22071012700,127,071,6.518805913257814e-4,226565.43001756576,1.3963177805559844e-4,30
22071004800,48,071,6.62242327948808e-4,624421.8935789157,4.0041371761430876e-4,154
22071980100,9801,071,5.599946770457988e-4,588646.4579517553,2.3236022630931996e-8,1
22071002100,21,071,8.537024859440696e-4,1072018.7060284577,2.2160185491314444e-4,109
22071001751,17.51,071,4.949018076885003e-4,586660.5118558058,2.6637719959694482e-6,150
22071011900,119,071,6.769704614996554e-4,452017.92766171973,1.9041985732068788e-4,61
22071003100,31,071,6.62242327948808e-4,624421.8935789157,3.024154826186756e-4,134
22071990000,9900,071,6.127935964777345e-4,611614.9964535371,3.0921043928157377e-9,1
22071012000,120,071,6.516545567678556e-4,349076.34746265924,7.98532336979154e-6,8
22071001722,17.22,071,5.828118379856459e-4,614524.5509021496,9.519508740340407e-6,108
22071001744,17.44,071,4.840854641933188e-4,381894.8886827721,3.038339853306293e-5,115
22071012101,121.01,071,6.974824471963628e-4,398411.3118075555,2.4052533533875026e-4,79
22071012102,121.02,071,6.127254306139469e-4,55550.9504948826,1.1175903677652361e-4,102
22071003500,35,071,6.62242327948808e-4,624421.8935789157,3.099872521008081e-4,110
22071003701,37.01,071,8.286108266993377e-4,1730494.589765983,8.782903057784355e-5,37
22071004402,44.02,071,6.62242327948808e-4,624421.8935789157,8.736763089479418e-5,7
