GEO.id,GEO.id2,GEO.display-label,total,poverty,per_poverty
1400000US42003010300,42003010300,"Census Tract 103, Allegheny County, Pennsylvania",655,230,35.1
1400000US42003020100,42003020100,"Census Tract 201, Allegheny County, Pennsylvania",3072,588,19.1
1400000US42003020300,42003020300,"Census Tract 203, Allegheny County, Pennsylvania",821,49,6
1400000US42003030500,42003030500,"Census Tract 305, Allegheny County, Pennsylvania",2292,833,36.3
1400000US42003040200,42003040200,"Census Tract 402, Allegheny County, Pennsylvania",1180,559,47.4
1400000US42003040400,42003040400,"Census Tract 404, Allegheny County, Pennsylvania",1921,858,44.7
1400000US42003040500,42003040500,"Census Tract 405, Allegheny County, Pennsylvania",3100,2408,77.7
1400000US42003040600,42003040600,"Census Tract 406, Allegheny County, Pennsylvania",1938,1249,64.4
1400000US42003040900,42003040900,"Census Tract 409, Allegheny County, Pennsylvania",2947,1627,55.2
1400000US42003050100,42003050100,"Census Tract 501, Allegheny County, Pennsylvania",2082,742,35.6
1400000US42003050600,42003050600,"Census Tract 506, Allegheny County, Pennsylvania",1751,380,21.7
1400000US42003050900,42003050900,"Census Tract 509, Allegheny County, Pennsylvania",1367,931,68.1
1400000US42003051000,42003051000,"Census Tract 510, Allegheny County, Pennsylvania",1317,711,54
1400000US42003051100,42003051100,"Census Tract 511, Allegheny County, Pennsylvania",187,69,36.9
1400000US42003060300,42003060300,"Census Tract 603, Allegheny County, Pennsylvania",2533,464,18.3
1400000US42003060500,42003060500,"Census Tract 605, Allegheny County, Pennsylvania",1299,193,14.9
1400000US42003070300,42003070300,"Census Tract 703, Allegheny County, Pennsylvania",1889,222,11.8
1400000US42003070500,42003070500,"Census Tract 705, Allegheny County, Pennsylvania",3161,762,24.1
1400000US42003070600,42003070600,"Census Tract 706, Allegheny County, Pennsylvania",1972,275,13.9
1400000US42003070800,42003070800,"Census Tract 708, Allegheny County, Pennsylvania",1851,438,23.7
1400000US42003070900,42003070900,"Census Tract 709, Allegheny County, Pennsylvania",4177,1332,31.9
1400000US42003080200,42003080200,"Census Tract 802, Allegheny County, Pennsylvania",1640,303,18.5
1400000US42003080400,42003080400,"Census Tract 804, Allegheny County, Pennsylvania",1469,458,31.2
1400000US42003080600,42003080600,"Census Tract 806, Allegheny County, Pennsylvania",2074,233,11.2
1400000US42003080700,42003080700,"Census Tract 807, Allegheny County, Pennsylvania",1916,479,25
1400000US42003080900,42003080900,"Census Tract 809, Allegheny County, Pennsylvania",1727,271,15.7
1400000US42003090100,42003090100,"Census Tract 901, Allegheny County, Pennsylvania",1852,261,14.1
1400000US42003090200,42003090200,"Census Tract 902, Allegheny County, Pennsylvania",2595,318,12.3
1400000US42003090300,42003090300,"Census Tract 903, Allegheny County, Pennsylvania",1680,260,15.5
1400000US42003100500,42003100500,"Census Tract 1005, Allegheny County, Pennsylvania",2096,389,18.6
1400000US42003101100,42003101100,"Census Tract 1011, Allegheny County, Pennsylvania",2536,372,14.7
1400000US42003101400,42003101400,"Census Tract 1014, Allegheny County, Pennsylvania",3288,361,11
1400000US42003101600,42003101600,"Census Tract 1016, Allegheny County, Pennsylvania",1071,487,45.5
1400000US42003101700,42003101700,"Census Tract 1017, Allegheny County, Pennsylvania",1405,593,42.2
1400000US42003101800,42003101800,"Census Tract 1018, Allegheny County, Pennsylvania",2539,128,5
1400000US42003110200,42003110200,"Census Tract 1102, Allegheny County, Pennsylvania",4304,502,11.7
1400000US42003110600,42003110600,"Census Tract 1106, Allegheny County, Pennsylvania",2547,302,11.9
1400000US42003111300,42003111300,"Census Tract 1113, Allegheny County, Pennsylvania",2529,432,17.1
1400000US42003111400,42003111400,"Census Tract 1114, Allegheny County, Pennsylvania",1336,445,33.3
1400000US42003111500,42003111500,"Census Tract 1115, Allegheny County, Pennsylvania",2966,873,29.4
1400000US42003120300,42003120300,"Census Tract 1203, Allegheny County, Pennsylvania",1661,455,27.4
1400000US42003120400,42003120400,"Census Tract 1204, Allegheny County, Pennsylvania",679,299,44
1400000US42003120700,42003120700,"Census Tract 1207, Allegheny County, Pennsylvania",863,149,17.3
1400000US42003120800,42003120800,"Census Tract 1208, Allegheny County, Pennsylvania",625,151,24.2
1400000US42003130100,42003130100,"Census Tract 1301, Allegheny County, Pennsylvania",1757,947,53.9
1400000US42003130200,42003130200,"Census Tract 1302, Allegheny County, Pennsylvania",1505,613,40.7
