GEO.id,GEO.id2,GEO.display-label,total,poverty,per_poverty
1400000US06067000100,6067000100,"Census Tract 1, Sacramento County, California",3702,191,5.2
1400000US06067000200,6067000200,"Census Tract 2, Sacramento County, California",3715,148,4
1400000US06067000300,6067000300,"Census Tract 3, Sacramento County, California",3085,170,5.5
1400000US06067000400,6067000400,"Census Tract 4, Sacramento County, California",3974,601,15.1
1400000US06067000500,6067000500,"Census Tract 5, Sacramento County, California",3223,1015,31.5
1400000US06067000600,6067000600,"Census Tract 6, Sacramento County, California",1280,614,48
1400000US06067000700,6067000700,"Census Tract 7, Sacramento County, California",612,266,43.5
1400000US06067000800,6067000800,"Census Tract 8, Sacramento County, California",1509,237,15.7
1400000US06067001101,6067001101,"Census Tract 11.01, Sacramento County, California",2212,844,38.2
1400000US06067001200,6067001200,"Census Tract 12, Sacramento County, California",3160,696,22
1400000US06067001300,6067001300,"Census Tract 13, Sacramento County, California",3057,629,20.6
1400000US06067001400,6067001400,"Census Tract 14, Sacramento County, California",2343,572,24.4
1400000US06067001500,6067001500,"Census Tract 15, Sacramento County, California",4762,258,5.4
1400000US06067001600,6067001600,"Census Tract 16, Sacramento County, California",5842,378,6.5
1400000US06067001700,6067001700,"Census Tract 17, Sacramento County, California",5580,1524,27.3
1400000US06067001800,6067001800,"Census Tract 18, Sacramento County, California",4639,882,19
1400000US06067001900,6067001900,"Census Tract 19, Sacramento County, California",3047,474,15.6
1400000US06067002000,6067002000,"Census Tract 20, Sacramento County, California",2472,537,21.7
1400000US06067002100,6067002100,"Census Tract 21, Sacramento County, California",2501,627,25.1
1400000US06067002200,6067002200,"Census Tract 22, Sacramento County, California",4284,1924,44.9
1400000US06067002300,6067002300,"Census Tract 23, Sacramento County, California",3389,152,4.5
1400000US06067002400,6067002400,"Census Tract 24, Sacramento County, California",4376,317,7.2
1400000US06067002500,6067002500,"Census Tract 25, Sacramento County, California",1520,25,1.6
1400000US06067002600,6067002600,"Census Tract 26, Sacramento County, California",2676,264,9.9
1400000US06067002700,6067002700,"Census Tract 27, Sacramento County, California",3413,994,29.1
1400000US06067002800,6067002800,"Census Tract 28, Sacramento County, California",3443,1425,41.4
1400000US06067002900,6067002900,"Census Tract 29, Sacramento County, California",5187,731,14.1
1400000US06067003000,6067003000,"Census Tract 30, Sacramento County, California",7270,1949,26.8
1400000US06067003101,6067003101,"Census Tract 31.01, Sacramento County, California",3427,433,12.6
1400000US06067003102,6067003102,"Census Tract 31.02, Sacramento County, California",3063,833,27.2
1400000US06067003202,6067003202,"Census Tract 32.02, Sacramento County, California",5158,1863,36.1
1400000US06067003203,6067003203,"Census Tract 32.03, Sacramento County, California",3140,1065,33.9
1400000US06067003204,6067003204,"Census Tract 32.04, Sacramento County, California",5414,2118,39.1
1400000US06067003300,6067003300,"Census Tract 33, Sacramento County, California",4366,471,10.8
1400000US06067003400,6067003400,"Census Tract 34, Sacramento County, California",4345,534,12.3
1400000US06067003501,6067003501,"Census Tract 35.01, Sacramento County, California",2483,836,33.7
1400000US06067003502,6067003502,"Census Tract 35.02, Sacramento County, California",2723,409,15
1400000US06067003600,6067003600,"Census Tract 36, Sacramento County, California",3019,770,25.5
1400000US06067003700,6067003700,"Census Tract 37, Sacramento County, California",3916,1581,40.4
1400000US06067003800,6067003800,"Census Tract 38, Sacramento County, California",6051,1190,19.7
1400000US06067003900,6067003900,"Census Tract 39, Sacramento County, California",3345,153,4.6
1400000US06067004001,6067004001,"Census Tract 40.01, Sacramento County, California",5236,440,8.4
1400000US06067004004,6067004004,"Census Tract 40.04, Sacramento County, California",6569,239,3.6
1400000US06067004005,6067004005,"Census Tract 40.05, Sacramento County, California",4050,438,10.8
1400000US06067004006,6067004006,"Census Tract 40.06, Sacramento County, California",4974,688,13.8
1400000US06067004008,6067004008,"Census Tract 40.08, Sacramento County, California",3740,260,7
1400000US06067004009,6067004009,"Census Tract 40.09, Sacramento County, California",4874,317,6.5
1400000US06067004010,6067004010,"Census Tract 40.10, Sacramento County, California",5029,625,12.4
1400000US06067004011,6067004011,"Census Tract 40.11, Sacramento County, California",2959,194,6.6
1400000US06067004012,6067004012,"Census Tract 40.12, Sacramento County, California",3498,184,5.3
1400000US06067004100,6067004100,"Census Tract 41, Sacramento County, California",5095,1671,32.8
1400000US06067004201,6067004201,"Census Tract 42.01, Sacramento County, California",5545,1100,19.8
1400000US06067004202,6067004202,"Census Tract 42.02, Sacramento County, California",5639,1339,23.7
1400000US06067004203,6067004203,"Census Tract 42.03, Sacramento County, California",5528,2153,38.9
1400000US06067004300,6067004300,"Census Tract 43, Sacramento County, California",9079,2427,26.7
1400000US06067004401,6067004401,"Census Tract 44.01, Sacramento County, California",3813,1095,28.7
1400000US06067004402,6067004402,"Census Tract 44.02, Sacramento County, California",4662,1889,40.5
1400000US06067004501,6067004501,"Census Tract 45.01, Sacramento County, California",3236,1417,43.8
1400000US06067004502,6067004502,"Census Tract 45.02, Sacramento County, California",5096,1875,36.8
1400000US06067004601,6067004601,"Census Tract 46.01, Sacramento County, California",7855,3522,44.8
1400000US06067004602,6067004602,"Census Tract 46.02, Sacramento County, California",4890,1798,36.8
