GEOID,NAME,COUNTYFP,closeness,betweenness,density,per_pover2
06067007413,74.13,067,5.412544205827326e-4,364845.66091608827,1.760874889483588e-5,132
06067007414,74.14,067,5.9327750744725e-4,591288.5162182439,1.9756059685388326e-4,84
06067007416,74.16,067,5.9327750744725e-4,591288.5162182439,2.3046790647838038e-4,66
06067007417,74.17,067,5.9327750744725e-4,591288.5162182439,5.245912591096958e-5,204
06067009408,94.08,067,5.9327750744725e-4,591288.5162182439,4.395473129989084e-6,9
06067009630,96.30,067,5.9327750744725e-4,591288.5162182439,1.475717338714675e-6,214
06067007424,74.24,067,5.758521482152e-4,503782.9994182285,2.1514551346577657e-5,141
06067009632,96.32,067,5.9327750744725e-4,591288.5162182439,1.0463343168791184e-4,214
06067005505,55.05,067,6.053829727579779e-4,521374.7304361258,5.3506243851787774e-5,169
06067009633,96.33,067,5.9327750744725e-4,591288.5162182439,3.48046028584497e-4,78
06067007406,74.06,067,5.9327750744725e-4,591288.5162182439,1.8854112538212977e-5,86
06067009635,96.35,067,5.9327750744725e-4,591288.5162182439,2.580459566911353e-5,216
06067009312,93.12,067,5.398207122005696e-4,519214.273122316,1.1763301839169166e-4,18
06067009636,96.36,067,5.9327750744725e-4,591288.5162182439,6.739410006276856e-7,21
06067003202,32.02,067,6.029213125302927e-4,262658.8410800813,4.715933375670972e-5,150
06067009900,99,067,5.666397047264407e-4,554021.2735489054,7.497898378278818e-7,27
06067000100,1,067,5.935089278850512e-4,212988.99071076914,3.597078865555493e-5,182
06067009606,96.06,067,4.420582823931489e-4,256588.80567635348,3.6587165610733346e-5,127
06067008600,86,067,5.9327750744725e-4,591288.5162182439,2.71789634419002e-7,71
06067002700,27,067,7.693059943619664e-4,980647.9206189171,2.2358407260691376e-4,117
06067009406,94.06,067,5.9327750744725e-4,591288.5162182439,1.1503046660764055e-7,165
06067009316,93.16,067,5.450734565073683e-4,519485.33086485206,2.0620890145015664e-4,53
06067009317,93.17,067,5.327489177011788e-4,502122.64838079456,1.0469661611787527e-4,35
06067009318,93.18,067,5.258447345235227e-4,479389.12513254385,1.1050088725283089e-4,32
06067009639,96.39,067,3.772349486548517e-4,105771.7980327891,8.423264408712355e-5,65
06067009319,93.19,067,5.009120909895032e-4,424676.39623522625,8.59158790957108e-6,82
06067004501,45.01,067,6.782588631884486e-4,1335649.9620924294,2.1636671791194506e-5,174
06067009309,93.09,067,5.9327750744725e-4,591288.5162182439,4.388151736075083e-5,205
06067004502,45.02,067,5.833458446070217e-4,785845.0576617032,2.9607353115901607e-5,153
06067009310,93.10,067,5.9327750744725e-4,591288.5162182439,4.1118282393811116e-5,205
06067004701,47.01,067,5.725903592215811e-4,660007.798698111,3.2106251101215627e-5,171
06067009311,93.11,067,5.514138413871836e-4,536224.4947858062,7.934151593267668e-7,40
06067004702,47.02,067,6.032028340561494e-4,758707.9859997551,5.455760069976476e-5,147
06067009320,93.20,067,4.707562009140824e-4,352434.6303754177,1.14231460099632e-5,92
06067005204,52.04,067,5.255798318436161e-4,327261.59112937906,4.495572866798334e-5,10
06067005510,55.10,067,6.157994087579338e-4,562190.9318538371,3.5526045090963405e-5,111
06067005904,59.04,067,5.9327750744725e-4,591288.5162182439,1.0395818898693362e-4,56
06067009321,93.21,067,5.182629593549194e-4,470099.1976557855,1.4300888074355125e-4,27
06067000200,2,067,6.543286458190851e-4,235575.63518342836,2.9114826310840867e-5,160
06067000300,3,067,7.214525738292192e-4,539126.036421671,4.685862477113934e-5,185
06067000400,4,067,7.86573953745293e-4,700806.2100816248,2.0807773829425335e-4,38
06067000500,5,067,5.9327750744725e-4,591288.5162182439,3.4640137793073246e-6,130
06067001800,18,067,7.737228006099576e-4,1126727.876901288,1.6127104532844965e-4,64
06067001900,19,067,7.99074254156922e-4,927009.2162309028,1.5379658475840377e-4,42
06067002000,20,067,8.07987326260583e-4,2622507.485322577,1.8294876118294648e-4,80
06067008137,81.37,067,5.9327750744725e-4,591288.5162182439,1.5816920308338504e-4,62
06067005102,51.02,067,5.534043290919195e-4,520690.8362378798,4.523255550044305e-6,90
06067007423,74.23,067,5.9327750744725e-4,591288.5162182439,1.032725270516779e-4,172
06067008905,89.05,067,5.9327750744725e-4,591288.5162182439,1.2265399216791886e-4,22
06067009307,93.07,067,5.9327750744725e-4,591288.5162182439,7.916579930449392e-5,16
06067008910,89.10,067,5.9327750744725e-4,591288.5162182439,1.2153833411518582e-4,53
06067004201,42.01,067,6.008085604948997e-4,396287.4551625114,6.847084786518934e-6,67
06067009004,90.04,067,5.9327750744725e-4,591288.5162182439,1.238089342823827e-4,27
